"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"274","I192072718","Simple Assault",42.2917221,-71.1196546,"West Roxbury","2019"
"275","I192072709","Simple Assault",42.27700963,-71.07431626,"Mattapan","2019"
"276","I192072707","Simple Assault",42.34959253,-71.14856689,"Brighton","2019"
"277","I192072701","Simple Assault",42.32987323,-71.09590774,"Roxbury","2019"
"278","I192072685","Simple Assault",42.35602373,-71.06177615,"Downtown","2019"
"279","I192072684","Simple Assault",42.33339529,-71.04902645,"South Boston","2019"
"280","I192072663","Simple Assault",42.33816387,-71.07461217,"South End","2019"
"281","I192072657","Simple Assault",42.33094957,-71.04139054,"South Boston","2019"
"282","I192072651","Simple Assault",42.31466062,-71.07623072,"Roxbury","2019"
"283","I192072645","Simple Assault",42.3524587,-71.13762608,"Brighton","2019"
"284","I192072641","Simple Assault",42.33408297,-71.0462535,"South Boston","2019"
"285","I192072600","Simple Assault",42.37499333,-71.03982596,"East Boston","2019"
"286","I192072575","Simple Assault",42.2783992,-71.06636305,"Dorchester","2019"
"287","I192072570","Simple Assault",42.28464725,-71.09473285,"Mattapan","2019"
"288","I192072521","Simple Assault",42.34613087,-71.08094439,"South End","2019"
"289","I192072520","Simple Assault",42.34412622,-71.09760878,"South End","2019"
"290","I192072434","Simple Assault",42.32696647,-71.06198607,"South Boston","2019"
"291","I192072427","Simple Assault",42.33428841,-71.07239518,"South End","2019"
"292","I192072418","Simple Assault",42.336112,-71.04665434,"South Boston","2019"
"293","I192072405","Simple Assault",42.31928523,-71.05027167,"South Boston","2019"
"294","I192072403","Simple Assault",42.32855624,-71.09905446,"Roxbury","2019"
"295","I192072402","Simple Assault",42.30511791,-71.08019088,"Dorchester","2019"
"296","I192072379","Simple Assault",42.3499624,-71.14762531,"Brighton","2019"
"297","I192072366","Simple Assault",42.35650174,-71.0619996,"Downtown","2019"
"298","I192072348","Simple Assault",42.26932098,-71.17204938,"West Roxbury","2019"
"299","I192072298","Simple Assault",42.33049422,-71.04342091,"South Boston","2019"
"300","I192072294","Simple Assault",42.31531528,-71.07544326,"Roxbury","2019"
"301","I192072275","Simple Assault",42.26909851,-71.09361458,"Mattapan","2019"
"302","I192072233","Simple Assault",42.35595391,-71.13852468,"Brighton","2019"
"303","I192072188","Simple Assault",42.35157076,-71.07186599,"South End","2019"
"304","I192072183","Simple Assault",42.35972137,-71.0585236,"Downtown","2019"
"305","I192072181","Simple Assault",42.33267994,-71.109579,"Roxbury","2019"
"306","I192072180","Simple Assault",42.35657707,-71.14883784,"Brighton","2019"
"307","I192072171","Simple Assault",42.29360585,-71.0718865,"Dorchester","2019"
"308","I192072154","Simple Assault",42.35902548,-71.05567996,"Downtown","2019"
"309","I192072151","Simple Assault",42.36183857,-71.05976489,"Downtown","2019"
"310","I192072136","Simple Assault",42.37987589,-71.03171809,"East Boston","2019"
"311","I192072129","Simple Assault",42.29558507,-71.09158038,"Mattapan","2019"
"312","I192072072","Simple Assault",42.34717363,-71.0964439,"South End","2019"
"313","I192072067","Simple Assault",42.32066147,-71.07067867,"Roxbury","2019"
"314","I192072060","Simple Assault",42.29895336,-71.0768587,"Mattapan","2019"
"315","I192072047","Simple Assault",42.29202523,-71.06321541,"Dorchester","2019"
"316","I192072034","Simple Assault",42.33455374,-71.07560801,"South End","2019"
"317","I192072024","Simple Assault",42.29301407,-71.06084412,"Dorchester","2019"
"318","I192072009","Simple Assault",42.36284173,-71.13792234,"Brighton","2019"
"319","I192071990","Simple Assault",42.35540738,-71.06312433,"Downtown","2019"
"320","I192071954","Simple Assault",42.29938509,-71.06978865,"Dorchester","2019"
"321","I192071950","Simple Assault",42.3185759,-71.08767243,"Roxbury","2019"
"322","I192071843","Simple Assault",42.34942864,-71.06536641,"Downtown","2019"
"323","I192071823","Simple Assault",42.35106637,-71.06549569,"Downtown","2019"
"324","I192071818","Simple Assault",42.36119772,-71.06828088,"Downtown","2019"
"325","I192071816","Simple Assault",42.35952721,-71.05358839,"Downtown","2019"
"326","I192071774","Simple Assault",42.35680075,-71.05893025,"Downtown","2019"
"327","I192071756","Simple Assault",42.34857652,-71.07772012,"South End","2019"
"328","I192071740","Simple Assault",42.2856436,-71.12524192,"West Roxbury","2019"
"329","I192071724","Simple Assault",42.33428841,-71.07239518,"South End","2019"
